,sessionID,condition,drift,bound,collapseslope,nonDT
0,0.0,1.0,-3.0184810307442556,1.3427413623577347,0.10180285656245175,0.18927601874690042
1,0.0,2.0,-3.170652408231118,1.261796802520428,0.1,0.1709167480229829
2,0.0,5.0,-3.575749041535742,1.9956232880955485,0.43973586573389745,0.06323381054345575
3,1.0,1.0,-3.1889305017450464,0.6994037238511831,0.1,0.2996448741266544
4,1.0,2.0,-4.3734318587267484,0.6507124762390247,0.1,0.29684497960055983
5,1.0,5.0,-3.5058269919396743,0.6866007870236277,0.1,0.31474418408857535
6,2.0,1.0,-3.5285422503282815,0.9248507168220563,0.10072450612598788,0.2481920948405436
7,2.0,2.0,-3.6397319165318143,0.6771497467424872,0.10153435492861057,0.291952375137277
8,2.0,5.0,-3.7691624988797887,0.7111438477692279,0.1,0.3203057330140035
9,3.0,1.0,-4.645074727000313,0.7469677973116804,0.11292029394165265,0.2803724993512453
10,3.0,2.0,-5.427643507165238,0.9464973915087812,0.16245077500515775,0.24497510830731467
11,3.0,5.0,-4.032412401641318,1.8133146047120319,0.3367309362387765,0.054632030986738744
12,4.0,1.0,-4.2942691346322315,1.4944630064283988,0.1,0.12562726758748338
13,4.0,2.0,-4.494194671225809,0.6482169572881511,0.10235257119433766,0.2700114777539808
14,4.0,5.0,-3.124888358737798,0.8690024608259289,0.1,0.23333063036361312
15,5.0,1.0,-4.690255814226383,2.0,0.10635854280623058,0.0006748994653767992
16,5.0,2.0,-8.64636197605318,2.0,0.32302301247129017,0.1565806325114537
17,5.0,5.0,-4.406503160057554,1.9578384807650266,0.42447171722517846,0.00024370156413114352
18,6.0,1.0,-4.170393368746775,1.711208683772874,0.2558305074810691,0.000392278763251791
19,6.0,2.0,-4.83357277425824,2.0,0.9701996725381679,0.0004971738568803064
20,6.0,4.0,-2.0434107657224865,1.0764261653245,0.10009268187316367,0.0009233224601188084
21,6.0,5.0,-3.841376624566961,1.5183755600675066,0.10143610019752271,0.00015787517621834724
22,6.0,8.0,-2.9878844590590585,1.4704762955338224,0.1,0.06045424240025987
23,7.0,1.0,-4.662249083565279,1.7964274145875947,0.24456895145549876,0.0012146791309265992
24,7.0,2.0,-4.419369201619301,1.6248279125396772,0.6321046810479675,0.00025022717854245036
25,7.0,4.0,-2.3992771683058267,1.321735285378584,0.1,0.0006135619217876864
26,7.0,5.0,-5.276264142253544,2.0,0.3233641829390929,0.0002446585343271468
27,7.0,8.0,-3.484172869712352,1.75717278755084,0.3460391350663749,0.00022971800925070118
28,8.0,1.0,-1.538183076570453,1.6130018531165273,0.10061593419286008,0.0003275193523334663
29,8.0,2.0,-2.047767947158803,1.5515881829192646,0.1,0.0007539808914297508
30,8.0,5.0,-0.9914702233314521,1.2253374166016358,0.1,7.005912787078072e-05
31,8.0,8.0,-0.9307128421958437,1.5794106241062045,0.1,0.00028363402502701307
32,9.0,1.0,-2.2132333218688385,1.4172940592261318,0.1,0.00027455140479318296
33,9.0,2.0,-3.1254071543929083,0.8270174823817977,0.10443703338554378,0.21249537021068124
34,9.0,5.0,-1.6616315636086223,1.5367644828101286,0.1,0.0011878195576146555
35,9.0,8.0,-1.4933416358071616,1.3051797641500733,0.10055734412186856,0.001969361414210141
36,10.0,1.0,-3.243021502584834,1.0816262284417995,0.1,0.11517429773444546
37,10.0,2.0,-6.225111135036309,1.3716323906406012,0.3453600536056154,0.15408994496690995
38,10.0,5.0,-2.3954381343070037,0.9487419708765632,0.1,0.15070899964923432
39,10.0,8.0,-1.4207433869500397,1.2628432476589986,0.10056096001348214,0.0017856902537561337
40,11.0,1.0,-4.10667139856523,0.9515144955746883,0.1,0.16947455875130893
41,11.0,2.0,-2.8408782034302646,0.643827857363181,0.1,0.2306321470515521
42,11.0,5.0,-2.9433726583223114,0.6914125444541228,0.1,0.23738754985812882
43,11.0,8.0,-2.007810991707194,1.217570817575048,0.1,0.0016360274234993033
44,12.0,1.0,-3.113523512695121,0.7443745331835638,0.10346046202864584,0.20421259649291668
45,12.0,2.0,-3.487883556569793,0.846449962199386,0.1,0.16271980167177874
46,12.0,5.0,-3.7756136397913065,1.0248073197857914,0.1133585699266827,0.16062931915455958
47,12.0,8.0,-3.573339910716042,1.5313419007422613,0.11653039533174163,0.0008943449473707843
48,13.0,1.0,-3.2657185070541916,0.7404171171822487,0.10022721966331405,0.17720762732221793
49,13.0,2.0,-6.048966681170228,1.9936594730400077,0.19059613428693228,0.02295297157279741
50,13.0,4.0,-1.9154230138266286,1.0251004116856226,0.1,0.10331166969287187
51,13.0,5.0,-8.589092675358396,1.9571502058315455,0.7404973699727951,0.1399771393622094
52,13.0,8.0,-5.972973320762462,2.0,0.30362104448931965,0.0359074719586783
53,14.0,1.0,-4.604987031065056,1.4786590225849023,0.17207784980741225,0.06389502925251045
54,14.0,2.0,-3.4748552400522237,1.343421556902936,0.1,0.0008022277709098247
55,14.0,4.0,-3.0004886746494965,1.1273483901802874,0.1,0.06049506654347306
56,14.0,5.0,-3.5591138300960647,0.7602907643168559,0.10013862907601473,0.20300539596080586
57,14.0,8.0,-4.251568254107489,1.978713078916792,0.714762328671032,0.0002771140356818136
58,15.0,1.0,-4.687677924720046,0.8256743966135099,0.10536362786129266,0.1822941047085312
59,15.0,2.0,-5.712059397592837,1.3604818640817986,0.1,0.098872651847542
60,15.0,4.0,-2.5707080457003153,0.7739127745806039,0.10031345310397238,0.1867542829680089
61,15.0,5.0,-4.314336785166924,0.5859819409035165,0.10224059049855982,0.23977763874617672
62,15.0,8.0,-4.420578930035609,1.838498582329998,0.1127177907038745,0.0005347189644381856
