,sessionID,condition,drift,bound,nonDT
0,0.0,1.0,-3.125188403714337,1.3209501699833321,0.19375286572924091
1,0.0,2.0,-3.276725734389171,1.270693445170069,0.16883100355404837
2,0.0,5.0,-4.033498605788655,2.0,0.0640570435033262
3,1.0,1.0,-3.187591655118908,0.6682908342554721,0.3029689790555838
4,1.0,2.0,-4.408528020628507,0.6405078918565262,0.29767601350474976
5,1.0,5.0,-3.409173567452736,0.6048350974499842,0.3273078592509645
6,2.0,1.0,-3.503592818176744,0.8581247705951767,0.2568068144954283
7,2.0,2.0,-3.654976850641572,0.6306940796935068,0.29662648215063814
8,2.0,5.0,-3.531545362625738,0.6017375767327665,0.33554431677196306
9,3.0,1.0,-4.55179616509149,0.6988686843894406,0.2844654976768728
10,3.0,2.0,-5.46117796032184,0.906944346415804,0.24790704419336418
11,3.0,5.0,-4.340228447493757,1.8013463725519712,0.05397927301865316
12,4.0,1.0,-4.377480724591209,1.480026100535288,0.12729406408058774
13,4.0,2.0,-4.3883512035736105,0.6237800242128456,0.2703086068093241
14,4.0,5.0,-3.1218842866138785,0.8256370450805237,0.2385975890684474
15,5.0,1.0,-4.796605434075538,2.0,0.00029886891178829145
16,5.0,2.0,-8.969376587122342,2.0,0.1568472773217125
17,5.0,5.0,-4.828448937823057,1.957146649417913,0.0006469443381466877
18,6.0,1.0,-4.422509292031926,1.710313925527727,0.00023117855417792432
19,6.0,2.0,-5.679105435536995,1.9741538725764838,0.00040431756223086035
20,6.0,4.0,-2.130310969025894,1.0632054607942591,0.0007989980756791526
21,6.0,5.0,-3.946649057720313,1.519540270113502,0.000928797559178296
22,6.0,8.0,-3.0243568921785133,1.396903529936952,0.07562075617552555
23,7.0,1.0,-5.02193654177298,1.8523983510524507,0.0009722480494184504
24,7.0,2.0,-5.038194312120714,1.6249142849511906,0.0003638670026776536
25,7.0,4.0,-2.480417812561525,1.311761670523227,0.0004460405509829901
26,7.0,5.0,-5.596718570158891,1.9999999985767125,0.0001533009584862577
27,7.0,8.0,-3.830093571002897,1.7570937229858965,0.0002208913470794216
28,8.0,1.0,-1.6398515180377604,1.6143362033724413,0.0022166455013605812
29,8.0,2.0,-2.136445435716342,1.5434086043773052,0.0005514295381082723
30,8.0,5.0,-1.0390588706826598,1.1719631038356098,0.00045640468892182984
31,8.0,8.0,-0.9905925505185417,1.5179322886878435,0.0004413472978395949
32,9.0,1.0,-2.3173251988051313,1.4247501606364326,0.0007287485845349773
33,9.0,2.0,-3.0775032752714395,0.782872322318799,0.21625461264239154
34,9.0,5.0,-1.729471479055718,1.5087094452062453,0.0012405862452937177
35,9.0,8.0,-1.5349725272331383,1.251587940989594,0.0017065306093226318
36,10.0,1.0,-3.27029091302998,1.0384884912554722,0.1210756902325748
37,10.0,2.0,-6.377743002354953,1.2784849104193652,0.16225344433727776
38,10.0,5.0,-2.3497261686313706,0.8439994001759878,0.17179118961669326
39,10.0,8.0,-1.4314397909206835,1.1466786446347434,0.022605808038295372
40,11.0,1.0,-4.238372060417523,0.9525142131313938,0.17099949449604004
41,11.0,2.0,-2.8293242165603227,0.6150881614608996,0.23404412204754418
42,11.0,5.0,-3.0103736587125174,0.6832985820189166,0.23902367218558684
43,11.0,8.0,-2.0343946643645743,1.1568525547999138,0.010186619681330444
44,12.0,1.0,-3.0294625140095075,0.6997171307238779,0.20700792320265327
45,12.0,2.0,-3.521727600006494,0.820424067773422,0.16582626548839227
46,12.0,5.0,-3.6683594049735775,0.9656293375787202,0.1640687424601044
47,12.0,8.0,-3.68803891374055,1.5305859829173403,0.0007710970018543206
48,13.0,1.0,-3.2541531915249355,0.6989036983585851,0.18119951145840896
49,13.0,2.0,-6.245903258999447,2.0,0.021837030952331665
50,13.0,4.0,-1.8514993208944768,0.8472977446688403,0.15409444130488498
51,13.0,5.0,-9.359668907383812,1.9727428385565378,0.13826805746568005
52,13.0,8.0,-6.2765055706487125,2.0,0.03580316662941824
53,14.0,1.0,-4.793246026431915,1.4620016495334978,0.0643014994003881
54,14.0,2.0,-3.5486298119147137,1.3335660946104748,0.0005924386748862864
55,14.0,4.0,-3.01562235040993,1.0955367582941025,0.06417924554431509
56,14.0,5.0,-3.243049711445907,0.6028324632272533,0.22691164082208087
57,14.0,8.0,-4.966974240072377,1.9951400454403234,0.000666775011696541
58,15.0,1.0,-5.0377694068515115,0.8344830117897911,0.1833200666814765
59,15.0,2.0,-5.705909765223716,1.3013822678046518,0.10434468567128619
60,15.0,4.0,-2.506433531198194,0.6797806783433663,0.20387621608864137
61,15.0,5.0,-4.154564072171,0.5398097153140278,0.24352197141036713
62,15.0,8.0,-4.450021790193106,1.8194701693930906,0.0009582910099509567
