condition,rt_reject,choice,session
4,NaN,1,1
5,NaN,1,1
5,NaN,1,1
6,0.452766666664957,0,1
8,NaN,1,1
1,NaN,1,1
6,0.479783333335035,0,1
2,0.633800000000065,0,1
7,NaN,1,1
1,NaN,1,1
9,NaN,1,1
9,NaN,1,1
9,NaN,1,1
4,NaN,1,1
4,NaN,1,1
5,NaN,1,1
8,NaN,1,1
3,0.437800000000152,0,1
7,NaN,1,1
7,NaN,1,1
9,NaN,1,1
2,0.541766666665126,0,1
6,0.593766666665033,0,1
8,NaN,1,1
8,NaN,1,1
3,0.525783333335085,0,1
1,NaN,1,1
7,NaN,1,1
2,0.434799999999996,0,1
7,NaN,1,1
1,NaN,1,1
4,NaN,1,1
3,0.501783333329968,0,1
4,NaN,1,1
6,0.502766666664911,0,1
2,NaN,1,1
3,0.430783333330055,0,1
2,0.544799999999896,0,1
1,NaN,1,1
2,NaN,1,1
9,NaN,1,1
5,NaN,1,1
8,NaN,1,1
8,NaN,1,1
4,NaN,1,1
5,NaN,1,1
4,NaN,1,1
8,2.32951666666509,0,1
3,0.435783333334712,0,1
9,NaN,1,1
6,0.61776666667015,0,1
7,NaN,1,1
5,NaN,1,1
7,NaN,1,1
5,3.06741666666494,0,1
3,0.484766666665109,0,1
3,0.41780000000017,0,1
4,NaN,1,1
9,2.53748333332987,0,1
5,NaN,1,1
2,0.466800000000148,0,1
7,NaN,1,1
8,NaN,1,1
4,NaN,1,1
1,NaN,1,1
9,NaN,1,1
4,NaN,1,1
7,NaN,1,1
8,NaN,1,1
7,NaN,1,1
1,NaN,1,1
8,NaN,1,1
8,NaN,1,1
9,0.629750000000058,0,1
1,NaN,1,1
6,0.626766666669937,0,1
1,NaN,1,1
6,0.543766666665078,0,1
7,NaN,1,1
1,NaN,1,1
3,0.489766666670221,0,1
9,NaN,1,1
3,1.00073333333012,0,1
1,3.3063833333299,0,1
4,NaN,1,1
6,0.384783333329779,0,1
8,NaN,1,1
2,0.942700000000059,0,1
4,1.53963333333513,0,1
8,NaN,1,1
5,NaN,1,1
4,NaN,1,1
6,0.524766666670075,0,1
3,0.428800000000138,0,1
